name,downloaded,passed,rating
Ultimate Mortal Kombat 3,FALSE,FALSE,
Comix Zone,FALSE,FALSE,
Chuck Rock,FALSE,FALSE,
Earthworm Jim,FALSE,FALSE,
Earthworm Jim 2,FALSE,FALSE,
Teenage Mutant Ninja Turtles - The Hyperstone Heist,TRUE,FALSE,Best
Contra - Hard Corps,FALSE,FALSE,
Disney's Aladdin,FALSE,FALSE,
Sonic The Hedgehog 3,FALSE,FALSE,
Mortal Kombat 3,FALSE,FALSE,
Tiny Toon Adventures - Buster's Hidden Treasure,FALSE,FALSE,
Sonic The Hedgehog,FALSE,FALSE,
Boogerman,TRUE,TRUE,Best
"Lion King, The",FALSE,FALSE,
Sonic and Knuckles,FALSE,FALSE,
"Flintstones, The",FALSE,FALSE,
"Jungle Book, The",FALSE,FALSE,
Robocop Versus The Terminator,FALSE,FALSE,
Golden Axe III,FALSE,FALSE,
Sonic The Hedgehog 2,FALSE,FALSE,
Teenage Mutant Ninja Turtles - Tournament Fighters,TRUE,FALSE,Bad
Mortal Kombat II,FALSE,FALSE,
Desert Strike - Return to the Gulf,FALSE,FALSE,
Sunset Riders,FALSE,FALSE,
"Lost Vikings, The",FALSE,FALSE,
Desert Demolition,FALSE,FALSE,
Urban Strike,FALSE,FALSE,
Castlevania - Bloodlines,FALSE,FALSE,
Beyond Oasis,FALSE,FALSE,
"Adventures of Batman and Robin, The",FALSE,FALSE,
Mortal Kombat,TRUE,FALSE,Good
World of Illusion Starring Mickey Mouse & Donald Duck,FALSE,FALSE,
Battletech,FALSE,FALSE,
Vectorman,FALSE,FALSE,
Jurassic Park 2 - The Lost World,FALSE,FALSE,
X-Men 2 - Clone Wars,FALSE,FALSE,
Taz-Mania,FALSE,FALSE,
Jungle Strike,FALSE,FALSE,
Spider-Man and Venom - Maximum Carnage,FALSE,FALSE,
"Ren and Stimpy Show, The - Stimpy's Invention",FALSE,FALSE,
Tom and Jerry - Frantic Antics,FALSE,FALSE,
Pocahontas,FALSE,FALSE,
"Pirates of Dark Water, The",FALSE,FALSE,
Sylvester & Tweety in Cagey Capers,FALSE,FALSE,
Spider-Man - The Animated Series,FALSE,FALSE,
Splatterhouse 3,FALSE,FALSE,
Gargoyles,FALSE,FALSE,
Golden Axe II,FALSE,FALSE,
Zombies Ate My Neighbors,FALSE,FALSE,
Tiny Toon Adventures - Acme All-Stars,FALSE,FALSE,
Golden Axe,FALSE,FALSE,
Michael Jackson's Moonwalker,FALSE,FALSE,
ECCO - The Tides of Time,FALSE,FALSE,
Vectorman 2,FALSE,FALSE,
Mickey Mania - Timeless Adventures of Mickey Mouse,FALSE,FALSE,
Bugs Bunny in Double Trouble,FALSE,FALSE,
Asterix and the Power of The Gods,FALSE,FALSE,
Quack Shot Starring Donald Duck,FALSE,FALSE,
Captain America and the Avengers,FALSE,FALSE,
ECCO The Dolphin,FALSE,FALSE,
Garfield - Caught in the Act,FALSE,FALSE,
Spider-Man vs The Kingpin,FALSE,FALSE,
Worms,FALSE,FALSE,
Jurassic Park - Rampage Edition,FALSE,FALSE,
Cool Spot,FALSE,FALSE,
X-Men,FALSE,FALSE,
Justice League Task Force,FALSE,FALSE,
Blades of Vengeance,FALSE,FALSE,
Spider-Man and Venom - Separation Anxiety,FALSE,FALSE,
Wolverine Adamantium Rage,FALSE,FALSE,
Splatterhouse 2,FALSE,FALSE,
"Punisher, The",FALSE,FALSE,
Escape From Mars Starring Taz,FALSE,FALSE,
Ariel - The Little Mermaid,FALSE,FALSE,
Animaniacs,FALSE,FALSE,
Daffy Duck in Hollywood,FALSE,FALSE,
Jurassic Park,FALSE,FALSE,
"Death and Return of Superman, The",FALSE,FALSE,
Joe & Mac Caveman Ninja,FALSE,FALSE,
"Addams Family, The",FALSE,FALSE,
Cheese Cat-Astrophe Starring Speedy Gonzales,FALSE,FALSE,
Warlock,FALSE,FALSE,
Mighty Morphin Power Rangers - The Movie,FALSE,FALSE,
Fantasia,FALSE,FALSE,
Cadash,FALSE,FALSE,
Zero the Kamikaze Squirrel,FALSE,FALSE,
Spot Goes to Hollywood,FALSE,FALSE,
Eternal Champions,FALSE,FALSE,
Generations Lost,FALSE,FALSE,
Indiana Jones and the Last Crusade,FALSE,FALSE,
Asterix and the Great Rescue,FALSE,FALSE,
"Incredible Hulk, The",FALSE,FALSE,
Tale Spin,FALSE,FALSE,
Pinocchio,FALSE,FALSE,
Pink Goes to Hollywood,FALSE,FALSE,
"Great Circus Mystery, The - Starring Mickey & Minnie",FALSE,FALSE,
Mr. Nutz,FALSE,FALSE,
Castle of Illusion Starring Mickey Mouse,FALSE,FALSE,
Aero the Acro-Bat,FALSE,FALSE,
Ghostbusters,FALSE,FALSE,
Beauty and the Beast - Roar of the Beast,FALSE,FALSE,
Goofy's Hysterical History Tour,FALSE,FALSE,
Toejam & Earl in Panic on Funkotron,FALSE,FALSE,
Bram Stoker's Dracula,FALSE,FALSE,
Bonkers,FALSE,FALSE,
Mickey's Ultimate Challenge,TRUE,FALSE,Good
Ferias Frustradas do Pica-Pau,FALSE,FALSE,
Spider-Man and X-Men - Arcade's Revenge,FALSE,FALSE,
ECCO Jr.,FALSE,FALSE,
"Tick, The",FALSE,FALSE,
Primal Rage,FALSE,FALSE,
Marsupilami,FALSE,FALSE,
Might and Magic III - Isles of Terra,FALSE,FALSE,
King's Bounty,FALSE,FALSE,
Addams Family Values,FALSE,FALSE,
Mary Shelley's Frankenstein,FALSE,FALSE,
